userName,score,at,content,sentimen
Gita Nugraha,1,2024-10-31 11:44:18,"Sama seperti nasabah yang lain,limit hilang...",Negatif
Noti Andriyani,4,2024-10-31 11:41:26,limit nya kecil JD bintang sgni dlu,Positif
Nisa Zahra,5,2024-10-31 11:40:46,cepat jga klo lgi butuh cma klo bsa limitnya dinaikin lhh,Positif
Roy Bkl,1,2024-10-31 11:39:49,Aneh kenapa setelah gua lunasi limitnya malah 0 ga ada padahal pelunasan ga pernah telat,Negatif
Kucay Kontol,1,2024-10-31 11:34:01,"Jangan mau install ini aplikasi guys ,masak gak ada daftar cuma jadi kontak darurat asik di telpon2 aja ,itupun padahal teman saya gak di ACC akun nya , aplikasi busuk tukang sebar nomor telepon orang , bisa di laporkan ini masalah privasi orang jadi terganggu",Negatif
hendra irawan,5,2024-10-31 11:28:56,"Pengajuan mudah dan cepat, aplikasi mudah di fahami.",Positif
Didik Wawan,1,2024-10-31 11:21:01,"aplikasi jelek, awas aja indentitas saya di salah gunakan 😡🤬🤬🤬😡😡😡",Negatif
Mega Mega,4,2024-10-31 11:06:48,bagus dan sangat berguna,Positif
Lutfi Ansyah,1,2024-10-31 10:56:44,"tolong jangan spam telepon baru mau daftar juga udah di telpon terus kaya mau pinjem aja padahal belum,mohon di baca kepada devoleper",Negatif
nur halija,1,2024-10-31 10:42:07,"padahal g lewat tgl jatuh tempo tapi kenapa dibilang telat bayarnya, jelek bgtt ahhh pdhl g prnh lewat jatuh tempo, perbaikin score kredit sayaaaa",Negatif
Nabil Dahlim,4,2024-10-31 10:41:30,sangat bermanfaat,Positif
Ynti,2,2024-10-31 10:38:23,Bagus..,Negatif
JOKO SETIAWAN,5,2024-10-31 10:31:24,simple,Positif
anggit kent07,5,2024-10-31 10:29:48,apk sangat bagus bgt,Positif
Agung “Masbend”,1,2024-10-31 10:25:57,"Kecil bgt limit nya, kayak minjemin bocah sd",Negatif
Chimi Skuba,1,2024-10-31 10:16:48,Payah,Negatif
Aprilia Tri Handini,2,2024-10-31 10:14:53,Hai mohon maaf kenapa setelah saya melakukan pelunasan malah tidak bisa melihat limit pinjaman ya. Apakah harus menunggu beberapa hari ??,Negatif
Agus Adja,5,2024-10-31 10:12:35,sangat membantu,Positif
supar syarif,1,2024-10-31 10:01:24,utang saya sudah selesai untuk saat ini...data2 saya Janagan di salah gunakan ya....tolong saya tidak bertanggung jawab,Negatif
Gondrong Kaccia,3,2024-10-31 09:57:16,sya kasi 3 bintang dlu soalnya baru coba klo ACC baru d kasi 5 bintang,Positif
ogi mahendra,5,2024-10-31 09:33:44,membantu,Positif
Julaeha,1,2024-10-31 09:33:02,"Lucu sekali baca ulasan ,eh udah di coba isi from dengan benar tetap ajah di tolak Pinjol sama sajah cuman mau nyuri data doang , di acc kagak wkwkwkwk ...",Negatif
Akbar Cigoler,3,2024-10-31 09:27:11,limit terlalu kecll,Positif
Hari Yanto,5,2024-10-31 09:26:44,sangat bagus,Positif
Doni Nugroho,5,2024-10-31 09:12:15,Bagus,Positif
Lutfi afrianto,1,2024-10-31 09:10:33,"Kecewa awal limit naik setelah di lunasi semua nya bukan nya limit nambah, tapi malah hilang, jujur apk nya membantu banget apa lagi cara nya gampang minus nya ya itu cuma kecewa dngn kehilangan limit padahal gak pernah telat bayar",Negatif
Agus Faisal,2,2024-10-31 09:07:59,bagus cepet,Negatif
Jhoni Be,5,2024-10-31 09:04:42,sangat membantu,Positif
Amrihi,5,2024-10-31 09:01:23,Semoga bisa membantu saya... Untuk keluarga,Positif
Singgih Itos maulana,5,2024-10-31 09:00:52,is the best,Positif
Musang Sembilan,1,2024-10-31 08:56:34,"pengajuan tidak di ACC . permintaan penghapusan data di aplikasi gagal,jd tolong hapus data saya. 31/10/2024 saya uninstal apk ini dan saya tidak bertanggung jawab bila ada penyalah gunakan data saya.",Negatif
supermoto official,5,2024-10-31 08:49:51,Aplikasi ganggu iklan mulu babiiiii,Positif
inosensius werong,4,2024-10-31 08:46:15,"""maaf. permintaan pengajuan tidak melewati audit. tidak bisa mengajukan pengajuan lagi."" Tidak lolos pengauditan. ya deh , ngga papa. . . makasih infonya.",Positif
Sulipah,5,2024-10-31 08:42:13,sangat membantu..cuma sayangnya tenornya per 15hr jadi kalau gajian bulanan agak memberatkan,Positif
ᴠᴀɴғᴀɴᴅᴢ,5,2024-10-31 08:38:32,Ok Gas Oke Gas 02 Torang kita gas 😄😃😀🤣😂😅,Positif
Imell Husain,5,2024-10-31 08:30:54,"Bagus, dan gk ribet top lah pokoknya",Positif
David Sambur 25,5,2024-10-31 08:29:47,Good.... baru daftar dah dapet 8jt. Di ambil semua tanpa potongan. Bunga kecil.,Positif
Herman Hermawan,4,2024-10-31 08:27:55,lagi coba apa bisa di acc,Positif
Novi Novita,5,2024-10-31 08:20:59,akurat dan tepat,Positif
aqua sachet,5,2024-10-31 08:08:28,sangat membantu,Positif
Realme New,5,2024-10-31 08:07:25,🙏🙏🙏🙏🙏🥰🥰🥰🥰🥰🥰,Positif
Andi Trimei,1,2024-10-31 07:58:14,"Apk taik , minjem enggak d tlponin",Negatif
Sizilia Tri Ratna Sari,5,2024-10-31 07:50:48,cepat mudah,Positif
Wanto Wanto,4,2024-10-31 07:49:57,layanan mudah,Positif
Syamsurya Asri,5,2024-10-31 07:49:08,mantap,Positif
Ema Nurcholima,1,2024-10-31 07:34:30,"Aplikasi bikin rumit,, yg susah tuh d verivaksi wajah, udah berhasil malah ber Belit Belit trus ke verivikasi wajah,, tolong hapus data saya , jgn sampe d salah gunakan",Negatif
Gesit Seto Perdana,5,2024-10-31 07:28:01,Sangat membantu,Positif
Natassia Harnum,1,2024-10-31 07:27:14,Najis sama aplikasi ini,Negatif
Fitri Nuraini28,3,2024-10-31 07:23:12,Pertama enak pengajuan pijamannya.. Setelah sekian lama memakai. Sekarang tidak bisa pengajuan pinjaman lagi.. Padahal angsuran saya tinggal 6 pembayaran. Tapi mau pengajuan pinjaman lagi tidak bisa,Positif
The Gunner,5,2024-10-31 07:20:14,langganan ya,Positif
Eko Paijo,5,2024-10-31 07:16:19,membantu,Positif
Catur Wisnu,4,2024-10-31 07:13:33,good,Positif
Amir Gaung,4,2024-10-31 07:08:43,profesional layanan mantap,Positif
Hasim Hidayat,2,2024-10-31 07:08:24,"tgl 31 okt 2024, memohon untuk hapus akun saya karena sya tidak bisa menghapus secara manual di apk ini, dan sya memohon agar data sya jangan sampai bocor,,, terimakasih,,,",Negatif
Wirang cok,1,2024-10-31 07:05:25,Penipu,Negatif
Anggady Jaya putra,1,2024-10-31 07:02:59,Tidak jadi bintang 5 pengajuan di tolak terus,Negatif
Jum Ati,4,2024-10-31 06:48:19,ini sangat membantu,Positif
dudi mulyana,5,2024-10-31 06:46:43,"sesuai iklan pengajuan mudah dan limit pinjaman awal lumayan besar suku bunga 0,03 % cek dulu pengajuan tar ulasan di rubah lagi",Positif
ARDANA_PRO. sugiardi,1,2024-10-31 06:45:48,Aplikasi gembel,Negatif
Dedy Purwanto,1,2024-10-31 06:41:41,Saya tidak pernah utang di apk ini tp dpt TLP suruh melunasi cicilan gimana apk kok gini,Negatif
Robby Ferdiansyah,5,2024-10-31 06:40:17,mudah & ga ribet,Positif
eni Yani,1,2024-10-31 06:39:21,klo berhasil Alhamdulillah.. easycash,Negatif
Usopusop 1212,5,2024-10-31 06:39:17,sangat baguss,Positif
zulfa abc,1,2024-10-31 06:35:13,"bunga tinggi ,hiliran telat bayar gak bisa pinjem lagi...padahal meski telat ya tetep di bayar ...walau dendanya terus berjalan....hadehv",Negatif
Mulyana teja,2,2024-10-31 06:33:56,"Udh bayar bener sebelum jatuh tempo Mau ngambil lagi, ga lolos verifikasi. Aneh",Negatif
Anggi Novytasari,3,2024-10-31 06:27:02,godd,Positif
eko sutriono,3,2024-10-31 06:24:32,cepat kilat,Positif
mimid mamad,1,2024-10-31 06:20:48,aplikasi aneh sehabis pelunasan malah ngga bisa pinjem lagi pengajuan di tolak tolol,Negatif
mobil murah86,1,2024-10-31 06:01:35,limit 1.3 setelah di lunasi limit jadi 100ribu lawak apk nya,Negatif
Sakod Saha,4,2024-10-31 06:01:07,bagus,Positif
Lely Livia,5,2024-10-31 05:55:15,verifikasi cepat,Positif
putra mohamad,3,2024-10-31 05:50:49,Saya kasih bintang 3 dulu. Kalau pembayaran sudah sebulan sekali bukan sebulan 2 kali bru di beri bintang 5,Positif
Heni Erna,4,2024-10-31 05:44:13,"Trima kasih easycash SDH membantu,untuk jasa nya jg wajar"" saja dari pada orang pribadi yg rentenir disana ,TPI lebih mantap lagi angsuran nya di perpanjang 12 bln klu pinjam LBH banyak ,maaf sebelumnya",Positif
hendra aja,5,2024-10-31 05:22:22,"bagus ,cepat dan sangat membantu",Positif
khalifah zhafirah,1,2024-10-31 05:21:17,Baru download aja udah diteror telp tiap hari....,Negatif
Budi Irawan,5,2024-10-31 05:19:27,langsung cair,Positif
Sri Hartati,5,2024-10-31 05:19:23,baik pelayanan nya,Positif
Menir Bwi,3,2024-10-31 05:14:42,pinjaman cepat cair,Positif
Siti Humroyah,5,2024-10-31 05:12:54,bagus,Positif
windi astutik,3,2024-10-31 04:47:46,Aku turunin bintangnya Padahal bayar tepat waktu limit malah di turunin jadi 200.000 Aneh,Positif
H24 ATA,2,2024-10-31 04:42:57,"Limit sangat kecil, padahal persyaratan sudah sesuai dengan minta slip gaji lagi.",Negatif
Nurdin N.S,5,2024-10-31 04:40:44,sangat membantu terimakasih,Positif
Mahlevi Kamal,5,2024-10-31 04:33:42,bagus,Positif
Agus Godel,1,2024-10-31 04:27:43,Jelek,Negatif
Edi Komara,5,2024-10-31 04:27:19,pencairan cepat semoga,Positif
achmad sobirin,5,2024-10-31 04:25:11,good,Positif
Sufyan Fade,1,2024-10-31 04:25:02,"Per tanggal hari ini 31-10-2024 ,bintang nya saya turunin , pinjam sudah sering tidak tau telat bayar malah limit tambah kecil dan sekarang tambah gagal verivikasi ,,, kecewa dengan apk ini",Negatif
Dedy helga,5,2024-10-31 04:21:48,Awal pengajuan pinjol terima kasih banyak untuk Easycash telah di-ACC semoga berkah lancar untuk angsuran 🤲🤲🤲,Positif
Muhammad Januri,1,2024-10-31 04:18:40,Mohon kepada admint aplikasi ini untuk memperbaiki sistem nya. Saya sudah melunasi tagihan pinjaman saya jauh sebelum jatuh tempo menjaga agar skore saya bagus dan riwayat pembayaran saya tidak buruk. Aneh nya pinjaman kedua saya tanpa ada hutang malah tidak lolos verifikasi dan LIMIT saya langsung turun jadi nol.. aneh maaf bintang saya turunkan. Percuma mengadu kepada customer hot line dan live chat tidak ada solusi yang membantu,Negatif
Yayan nirawijaya,5,2024-10-31 04:17:50,sangat membantu aplikasi nya..,Positif
Ismat Tulloh,5,2024-10-31 04:13:04,mudah gampang,Positif
Ondy Sudiandi,5,2024-10-31 03:59:09,komitment dlm suatu kerja sama nya..,Positif
Edi Pasir,5,2024-10-31 03:53:06,Mudah aman,Positif
Ika Ika,1,2024-10-31 03:49:14,Aplikasi ini sangat mengecewakan. Baru telat beberapa hari. Sudah d teror trs menerus itu sangat mengecewakan.,Negatif
Kristian Maulana,5,2024-10-31 03:48:32,terbantukan,Positif
Bambang Kurnia,1,2024-10-31 03:38:50,luarbiasa membantu,Negatif
Eng Chai,5,2024-10-31 03:34:57,mantap sudah bisa cair,Positif
Nur Doang,2,2024-10-31 03:22:29,"BUNGA LEBIH MAHAL PER 15 HARI ,UNTUK BUNGA CICILAN PER BULAN MASIH TERJANGKAU",Negatif
Saban Abeh,2,2024-10-31 03:20:23,ok malah limit 100 ribu ya habis di lunasin bukan naik limit,Negatif
Ani Sagita,4,2024-10-31 03:04:58,sangat baik,Positif
rahayu reyneldis,5,2024-10-31 03:04:52,top,Positif
Padu Banjar Tv,5,2024-10-31 03:04:22,mantap,Positif
Mamah iman Tea,5,2024-10-31 02:58:19,pinjaman dengan mudah...semoga tambah sukses Easycash ..saya sangat senang dengan adanya pinjaman dari Easycash,Positif
Nia Fn04,2,2024-10-31 02:57:02,Uda berlangganan tapi limit makin turun wkwk,Negatif
Carissa Novita,3,2024-10-31 02:55:24,tiga aja dulu soalnya belum tau,Positif
Rudi Yanto,5,2024-10-31 02:52:58,"sangat membantu sekali, ga ribet, mudah dan bunganya murah dapat diskon lagi, cuma dalam masalah pembayaran sangat dekat, klo bisa hitungan waktunya itu setandar dong, dari pencairan k pembayaran itu 1 bln, itu lebih bagus lagi, terimakasih easycash 🙏🏻🙏🏻",Positif
Warudin Warudin,5,2024-10-31 02:51:28,sangat membantu,Positif
Budi nurahman,5,2024-10-31 02:47:22,Terima kasih saya sudah uninstall app...,Positif
Akila Setuju,4,2024-10-31 02:23:02,bagus cuman limit nya kecil,Positif
Budiman Ade,2,2024-10-31 02:14:04,cukup garcep,Negatif
Ihsan Maulana,3,2024-10-31 02:06:28,mantap,Positif
Darwin Syaputra,5,2024-10-31 02:06:25,very good,Positif
Dian Herdiana,1,2024-10-31 02:05:27,"Tida berhasil verifikasi, mohon jangan gunakan data diri saya, jika disalah gunakan akan saya laporkan ke pihak yang berwajib.",Negatif
Budi Fajri,4,2024-10-31 01:51:49,Bagus,Positif
Hobiking 99,2,2024-10-31 01:49:48,semoga pinjaman pertama di acc,Negatif
Linda Lilin,4,2024-10-31 01:37:56,terimakasih sanggat membantu sekali,Positif
supir man,5,2024-10-31 01:26:34,bagus,Positif
Salim Sinar,5,2024-10-31 01:23:03,"simple gk ribet,best pinjol..limit cepat naik",Positif
Asnawi Albantanie,1,2024-10-31 01:22:16,"Sudah 4 kali pinjam dan pelunasannya lancar tapi pinjaman yang ke lima tidak di ACC, payah",Negatif
Ijul Kipli,2,2024-10-31 01:16:05,klo acc tambah lagi lah bintang.n,Negatif
Jakaria Tarmiji,5,2024-10-31 01:15:30,sip sangat membantu,Positif
Armando Ardo,4,2024-10-31 01:09:26,mudah dan cepat,Positif
Icong Solihin,1,2024-10-31 00:58:27,kok abis saya lunasin terus perbarui limit gagal padhal udh sering minjem si sini,Negatif
Zaidun Ajay01,2,2024-10-31 00:56:58,Ga mutu aplikasi ini.hapus data aja ribet gagal terus pinjaman ga d acc malah suruh nunggu terus.... Saya nitip data saya tgl. 31oktober2024,Negatif
Endah Fitriani,5,2024-10-31 00:53:01,"Bunganya masih wajar, ditambah accnya cepet",Positif
Eli Nurani,5,2024-10-31 00:45:24,alhamdulilah saya terbantu atas ada nya pinjaman dari Rasycash,Positif
Arlan Arya,3,2024-10-31 00:34:02,lumayan,Positif
Muhammad Rivan,1,2024-10-31 00:21:34,Pengajuan saya di tolak mohon data pribadi saya di hapus dan jangan di salah gunakan dan saya tidak bertanggung jawab,Negatif
Mariakilin,4,2024-10-31 00:11:19,Bagus,Positif
Bua Buttu,4,2024-10-30 23:51:37,Sanggat membantu namun selalu menelfn biar pun pembayaran lancar,Positif
Imam Nasudiono,4,2024-10-30 23:39:54,oh iiiii Iki k KB,Positif
Firdaus Bahrul ulum,4,2024-10-30 23:16:48,mantap,Positif
Sri Wahyuningsih,5,2024-10-30 22:56:02,sangattttt puassss,Positif
Helmy Pratama kumbara,1,2024-10-30 22:46:18,Kenapa saya sudah melunasi pembayaran tetapi saya tidak dpat limit lagi sedangkan pembayarannya lancar dan tidak ada tunggakan malah limit nya GK ada,Negatif
Basyofi Ulumando,5,2024-10-30 22:30:45,oke,Positif
Septian Arifanti,5,2024-10-30 22:02:15,bagus,Positif
Wan yudi Yudi,5,2024-10-30 21:42:00,cepat cair wihh,Positif
Indra Setiawan,5,2024-10-30 21:26:45,Pengajuan cepat,Positif
Ilham Syahputra,5,2024-10-30 20:53:01,"Aplikasi bisa untuk membantu,tapi kenapa limit saya pembayaran tepat waktu. Tidak ada tunggakan",Positif
Al Mustofa,4,2024-10-30 20:47:09,sementara 4 dulu ya kalo limit nya nambah baru 5,Positif
Angga Chandra,1,2024-10-30 20:16:05,Limit gede di lunasin lilit langsung dropp turun pdhl tidak pernah telat byr angsurn,Negatif
Nando,5,2024-10-30 19:51:43,aplikasi nya bgus,Positif
Andy,4,2024-10-30 19:40:23,semoga cepat amanah,Positif
Safrizal,5,2024-10-30 19:21:29,Bagus,Positif
Zaenal Lukman,3,2024-10-30 19:17:52,gooodddd,Positif
Taufik Hidayat,5,2024-10-30 19:13:54,"Udh berjalan 3tahun lebih make easy cash ,Alhamdulillah udh dapet 9x angsuran,semoga kedepannya bisa ada yg 12x angsuran. ACC sangat cepat ,pinjam 16juta jam 2pagi tetap di layani dan langsung cair, trimakasih kasih easy cash.🙏",Positif
Budi Chanel,5,2024-10-30 19:11:56,mantap,Positif
Ricky Febrian,5,2024-10-30 19:10:11,terbaik emang easycash,Positif
Indra Bungsu,5,2024-10-30 18:37:25,Bagus Kakak Ku,Positif
Yasmodita reza Pardosi,1,2024-10-30 18:15:08,Saya cuma mau meminjam 20 ribu tpi limit ny gk bisa di ubah tetap 5.000.000,Negatif
Hendri Rudiyanto,1,2024-10-30 18:13:48,"Kenapa setelah di lunasi semua cicilan sebelum jatuh tempo, malah limit turun sangat menyedihkan dari awal pinjam lagi limit nya, sangat kecewa!!!",Negatif
Azis Hoho,5,2024-10-30 18:09:22,peoses cepat,Positif
Suryana,5,2024-10-30 18:08:19,sangat cocok untuk Anda yang ingin membutuhkan dana darurat,Positif
Bandar Pentol,4,2024-10-30 17:40:01,"Cuma dapat limit sedikit kira"" gimana bisa nambah",Positif
Dwi Iiii,3,2024-10-30 17:21:16,limitnya terlalu rendah,Positif
Desia Wati,5,2024-10-30 17:16:08,bagus pelayanan nya,Positif
Putu Gyan,5,2024-10-30 17:10:09,Acc dong,Positif
Sigit 1986,4,2024-10-30 16:55:30,baru coba semoga berkah,Positif
Salsa 88,5,2024-10-30 16:50:56,sangat bagus sekali,Positif
Lanang Sebiji,4,2024-10-30 16:49:32,Sangat membantu tapi giliran telat beberapa hari setelah di lunasi GK bisa pinjam lagi,Positif
Fikri Pratama,5,2024-10-30 16:37:42,bagus mudah prosesny,Positif
Edi Rosadi,5,2024-10-30 16:33:44,Pelayanan yang cepat dan mudah🫰🫰,Positif
Ndra Aditya,5,2024-10-30 16:25:26,aplikasi pinjol terbaik,Positif
Siti Mujayanah,4,2024-10-30 16:23:05,cepat sekali,Positif
Bambang Agus,5,2024-10-30 16:22:17,bermanfaat ketika lagi butuh dana dadakan,Positif
Rendy Tangkambu,5,2024-10-30 16:15:34,di tolak mulu,Positif
Suwandi Wandi,1,2024-10-30 16:11:04,Udah di hapus Gak pake lagi,Negatif
Mellyana Liliandriani,5,2024-10-30 16:10:41,"Alhamdullilah saya sangat terbantu dengan Easy Cash,Syarat mudah gak ribet kaya yang lain.tapi kenapa begitu lunas tiba tiba gak bisa lagi? padahal saya lagi butuh banget",Positif
didi peot,1,2024-10-30 16:01:39,Sangat mengecewakan blm juga isi data udah di tolak,Negatif
Rendy Sanjaya,5,2024-10-30 15:31:32,godd pokoknya.ga ribet.sayank.pinjamn prtma dikit bngt,Positif
viro checha,1,2024-10-30 15:09:04,sbnrnya apknya bgus cpt acc jg.tp jraknya ckup dket cmn 2mnggu.llu krna ad ktrlmbtan 3hri az ud dwa trs2.gg nyaman bgt.pdhl sya jg niat lunasin.byar bunga dan denda jg tp knp kyak dkejar2 bgt.pinjam jg gg bnyak.trs mau ngajuin lg gg bz.hrs lunas smua.pdhl yg pertma.ngjuin dua2nya bs.bgitu ad tlat bbrp hri lngsung dcut gg bz lg. dimohon dperbaiki.biar nasabah nyaman.krna sma2 cri cuan kn.trimakasih.,Negatif
Gilang Ramadhan,5,2024-10-30 15:06:00,sangat membantu,Positif
Chandrilie A. Rumampuk,5,2024-10-30 14:56:14,like name.... it's Easy,Positif
Bogel Bogel03,5,2024-10-30 14:55:51,ok,Positif
Imam Suheri,2,2024-10-30 14:50:59,Saya udah melakukan pinjaman 2 kali dan itu gk pernah telat terus saya mau pinjam lagi malah d tolak,Negatif
Cahya01 Cahya01,5,2024-10-30 14:49:47,Sangat baik,Positif
Ridwan Hidayat,5,2024-10-30 14:46:59,baik,Positif
Beza Zalukhu,2,2024-10-30 14:46:50,Limit kecil,Negatif
Ahong Doang,1,2024-10-30 14:41:46,"Menu tagihannya mndadak ilang, aneh. mau saya lunasin.",Negatif
Sugi Yono,5,2024-10-30 14:39:52,sangat membantu keuangan,Positif
Taufik Haryadi,5,2024-10-30 14:09:05,mantap cepat mudah,Positif
Yani 123,5,2024-10-30 14:04:28,Mayan amanah,Positif
Dwi Lestari,2,2024-10-30 14:00:27,semoga lebih baik dari yg lain,Negatif
Mucken Drhil,5,2024-10-30 13:48:13,sayabersyukur ad apk easycash,Positif
Rohaniyah Nia,5,2024-10-30 13:20:52,"pengajuan yang sangat mudah, dan sangat membantu di saat yang tepat",Positif
Tri Afriyani,5,2024-10-30 13:01:56,Semoga bisa caer,Positif
Intnmrynaa,5,2024-10-30 12:55:08,bunga rendah aplikasi mudah saat pencairan ga ribet,Positif
Rusdi Taganta,5,2024-10-30 12:51:16,bagus,Positif
Toy hard,5,2024-10-30 12:49:01,bagus,Positif
Marfuah Fuah,4,2024-10-30 12:36:38,terbaik,Positif
Erna Wati,4,2024-10-30 12:25:36,baik sekali,Positif
Ditya Bae,1,2024-10-30 12:22:08,"VERIFIKASI GAGAL,PADAHAL SEBELUMNYA SUDAH PERNAH MINJAM",Negatif
Andika Tri Setia,4,2024-10-30 12:19:09,bunga aga tinggi,Positif
Duyeh Tea,4,2024-10-30 12:18:10,amanah dan cepat,Positif
Iin Naura,5,2024-10-30 12:11:16,Terima kasih,Positif
yudi febrian,5,2024-10-30 12:08:52,ok,Positif
erwan annisah,1,2024-10-30 12:07:01,pengajuan pinjmn di tolak kok neror lwt email KL ada double penagihan SGT ganggu,Negatif
Indri Umboh,1,2024-10-30 11:58:08,"Awalnya diberi limit 5 juta kemudian diminta isi data lengkap, habis itu diminta beri rating. Seteleh isi data lengkap dan dikasih rating baik malah pinjaman ditolak. Terus limit 5 jutanya kemana? Maaf saya merasa tertipu",Negatif
Basman Wijaya,1,2024-10-30 11:55:36,"Padahal ga telat bayar, limit dri 15jt malah jadi 800rb, di bilang kecewa ya sebenrnya kecewa",Negatif
moh ilyas,5,2024-10-30 11:54:21,sangat baik,Positif
Ros Diana,5,2024-10-30 11:51:47,respon baik,Positif
Arra Kids,5,2024-10-30 11:42:23,good...,Positif
Jamur Tiram,5,2024-10-30 11:35:37,pencairan dana cepat bunga rendah belum ngelunasi utang boleh utang lagi dan banyak hadiah menarik,Positif
Nur Haryati,5,2024-10-30 11:16:18,ok,Positif
Muslim Saka,1,2024-10-30 11:14:05,"Kalau tidak lolos verivikasi,,jangka berapa lama bisa mengajukan kembali",Negatif
Laelatul Istiqomah1992,5,2024-10-30 11:09:41,ok mantap bunga ringan,Positif
Yance Zelma,5,2024-10-30 11:08:44,"aku hari ini mhu pinjam uang cmn limit 200ribu..mnrut kalian di ambil apa gak yah...tadi cmn veeifikasi KTP,EMAIL DAN KK..cmn dpt 200ribu..mhu 1juta kok gk ada ya sob..bntu koment dsni y guys",Positif
Achmad Basori,5,2024-10-30 10:57:39,mantap,Positif
Khalisa Shifa,2,2024-10-30 10:55:00,"saat perivikasi wajah error/terhenti,tolong dong di perbaiki",Negatif
Litu Ramanika,5,2024-10-30 10:54:53,sangat membantu...😍,Positif
Roᴍɪ νєиσм,5,2024-10-30 10:54:51,sangat baik,Positif
Raka Bumi,1,2024-10-30 10:52:48,Gak profesional,Negatif
Muhammad Dilan Al Ayyubi,5,2024-10-30 10:49:33,bagus,Positif
Mister Phone,1,2024-10-30 10:43:08,"Aplikasi ga mutu,bunganya ga ngotak, limit kecil jangan ad yang pakai apk ini",Negatif
utuk utuk,1,2024-10-30 10:35:45,Busuk,Negatif
aisyah dan teman teman,5,2024-10-30 10:34:50,oke bgt,Positif
Ade Heriawan,5,2024-10-30 10:29:00,bagus membantu,Positif
Muhamad Amad,5,2024-10-30 10:25:53,Sangat membantu proses cepat cair tidak Ribet,Positif
Bayu Saja,5,2024-10-30 10:19:37,sangat sangat membantu trimaksih Easycash,Positif
Arri Sunandar,1,2024-10-30 10:19:13,Kenapa dana saya tidak bisa cair limit langsung 0,Negatif
Wisnu Billy,5,2024-10-30 10:01:55,sangat membantu,Positif
andi Hafizh12,5,2024-10-30 09:58:11,sedikit membantu keuangan,Positif
Andry Sapawi,5,2024-10-30 09:54:34,mantap,Positif
Lamandau Lamandau,5,2024-10-30 09:50:35,"cepat dan mudah, semoga sukses",Positif
Jawdoank Biru,4,2024-10-30 09:39:38,segitu dulu,Positif
Alex ander,5,2024-10-30 09:23:50,semoga di mudahkan,Positif
joker 97,5,2024-10-30 09:22:04,🙏🙏🙏,Positif
Saepuloh Permadi,1,2024-10-30 09:16:37,"Pinjol yang ga rekomen dehh,udah cicilan 2minggu sekali 5 hari ke jatuh tempo udah di tagih tagih trus neror lagi ke nomor yang di jaminkan belum juga jatuh tempo udah nelpon ke nomor yang di jaminkan,pokonya jangan pinjam kesini🙏",Negatif
Nadia Khoirul,1,2024-10-30 09:10:51,"Apk engk jelas ,udh di lunasin semuanya malah di limitnya turun 😏kalau mau pinjam di sini lebih baik mikir""dlu",Negatif
JOJO Telu Enem songo,5,2024-10-30 09:07:57,bagus Gak ribet,Positif
GALERI BONSAI pemula,1,2024-10-30 09:04:47,"Tidak pernah hutang di pinjol manapun, tapi kenapa tidak pernah di setujui pinjam di aplikasi ini. Lagi butuh tapi tidak membantu.",Negatif
bude win,5,2024-10-30 09:02:24,bagus bgt terbantu,Positif
Agus Polo,4,2024-10-30 08:51:15,sangat cocok untuk usaha menengah kebawah program ini,Positif
Bagas Bimantoro,3,2024-10-30 08:46:21,jos,Positif
Agus Dianto,5,2024-10-30 08:44:06,memudah kan kalau ada keperluan,Positif
Nur Kholis,1,2024-10-30 08:41:29,Bapak ibu Tolong hapus data/akun saya baru saja mengajukan tetapi ditolak. Hapus Hari ini juga pada tanggal 30oktobet2024,Negatif
Yusdan Sani,5,2024-10-30 08:39:31,Top Easy Cash,Positif
AR TAILOR SHOP,5,2024-10-30 08:37:54,mudah dan cepat,Positif
Wahyoe vanh Osch djik,1,2024-10-30 08:36:59,"Saya kecewa luar biasa ketika lagi butuh dana begini malah ditolak, dancuk.... saya selalu bayar di awal sebelum jatuh tempo bahkan langsung saya lunasin untuk nambah limit malah sekarang ditolak, kecewa berat saya, segini aja pelayanan nya kenasabah dasar hali",Negatif
suandry aa,5,2024-10-30 08:35:37,baik,Positif
Sujiwoo Tejoo,1,2024-10-30 08:32:10,payah,Negatif
Ismail Marsuki,2,2024-10-30 08:21:58,"saya baru pertama kali, n apabila tidak ada kendala nanti saya tambahkan bintangnya",Negatif
Ari Awan,5,2024-10-30 08:04:11,"Kemarin 2 bisa, sekarang limit mallh hilang... Padahal sebelum jatuh tempo di lunasi terus,, hutang cuma di aesycash aja...tw gitu mending bayar pas jatuh temponya aja.",Positif
W Suwandi,5,2024-10-30 08:03:00,mudah dan besahabat,Positif
Ivan Noviyan,5,2024-10-30 08:00:35,Sangay,Positif
Romli Rom,5,2024-10-30 07:58:40,makasih,Positif
Ahmad Gazali,5,2024-10-30 07:56:28,Terbaik,Positif
Minny Yudha,1,2024-10-30 07:50:44,limit sedikit,Negatif
Heri anto,1,2024-10-30 07:38:31,Pertanggal 30/10/2024 akun Easycash udh sya hapus .......jika terjadi masalah bukan tanggung jawab sya lagi.....,Negatif
nurhalimah nur,3,2024-10-30 07:29:28,Bayar ga pernah telat malahan sebelum jatoh tempo sudah dibayar tapi limit malah turun jadi 300 rb dari 5 JT kecewa banget sama easycash,Positif
predathor chanel,5,2024-10-30 07:22:15,👍👍👍,Positif
Made Dwiana Dwiana,5,2024-10-30 07:21:14,Bagus,Positif
